endpoint,scale_points,ni_margin,n_per_group,mas_mean,mas_sd,human_mean,human_sd,diff,ci_low,ci_high
QGval,35,-2.0,70,34.7,0.4786925295449991,34.55714285714286,0.891400007210479,0.1428571428571459,-0.09416778093535985,0.37988206664965163
ULM,76,-4.0,70,66.59047619047617,2.3523527322749955,65.74761904761903,2.5108048085722396,0.8428571428571416,0.03686128079081419,1.648853004923469
