cognitive_level,estimate_mas_minus_human,welch_se,welch_df,welch_t,welch_ci_low,welch_ci_high,welch_p_value,p_value,comparison_method,n_permutation_labelings_or_draws,n_mas_items,n_human_items,n_students,n_responses,model_formula,adjustment_note
recall,-0.03415625074666462,0.10495616915922965,11.04993443490029,-0.3254334739947107,-0.2650359211636675,0.19672341967033824,0.7509320578406402,0.7645687645687645,exact permutation (3432 labelings),3432,7,7,50,5000,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
comprehension,-0.10651596898193594,0.10092559137903036,2.545638777167,-1.055391080958948,-0.4627043171298803,0.24967237916600843,0.38097987175491893,0.4,exact permutation (20 labelings),20,3,3,50,5000,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
application,-0.0010100492565622288,0.07615031071272255,33.40164894057231,-0.013263888841801906,-0.15586827875968243,0.15384818024655797,0.9894961682147325,1.0,Monte Carlo permutation (100000 draws),100000,18,18,50,5000,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
analysis,-0.006329432603038532,0.08502359111054325,41.8015299272717,-0.07444325181242148,-0.17793812503482623,0.16527925982874916,0.9410128067851502,0.945870541294587,Monte Carlo permutation (100000 draws),100000,22,22,50,5000,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
