order,cognitive_level,cognitive_level_label,metric,ni_margin,n_mas,n_human,mas_mean,mas_sd,human_mean,human_sd,diff,ci_low,ci_high,se,noninferior_95ci
1,记忆,Knowledge,QGval,-0.3,10,10,4.980952380952381,0.0245903704521105,4.895238095238095,0.09200874124564715,0.0857142857142863,0.026686187399566207,0.14474238402900638,0.030116930096841677,True
1,记忆,Knowledge,ULM,-0.25,10,10,3.9791666666666665,0.0889322810754562,3.8791666666666673,0.12258468979786787,0.0999999999999992,0.006134386742278994,0.1938656132577194,0.04789149902657405,True
2,理解,Comprehension,QGval,-0.3,17,17,4.988795518207283,0.020820824576076265,4.971988795518207,0.03786696312211688,0.01680672268907557,-0.003735332550602731,0.03734877792875387,0.010480833016173467,True
2,理解,Comprehension,ULM,-0.25,17,17,4.144607843137255,0.13630927534746715,4.094362745098039,0.11413683057966546,0.050245098039216174,-0.03426687765213694,0.13475707373056928,0.043119147269017596,True
3,应用,Application,QGval,-0.3,25,25,4.9504761904761905,0.09472081744657569,4.912380952380953,0.18426376966262167,0.03809523809523707,-0.04311935989985703,0.11930983609033118,0.04143678079582303,True
3,应用,Application,ULM,-0.25,25,25,4.201666666666667,0.1419013578876903,4.101666666666667,0.11927272863608135,0.10000000000000053,0.02733635628010457,0.1726636437198965,0.03707396885506954,True
4,分析,Analysis,QGval,-0.3,18,18,4.923280423280423,0.05451200779615384,4.96031746031746,0.09130535581516301,-0.03703703703703631,-0.08616277612361056,0.012088702049537943,0.025064613163339643,True
4,分析,Analysis,ULM,-0.25,18,18,4.224537037037036,0.10588184862302236,4.263888888888889,0.05535093034625578,-0.03935185185185297,-0.09454627539765961,0.01584257169395368,0.028160937640269525,True
