source_true,cognitive_level,n_items,mean_adjusted_correct_probability,sd_adjusted_correct_probability,q1_adjusted_correct_probability,median_adjusted_correct_probability,q3_adjusted_correct_probability,min_adjusted_correct_probability,max_adjusted_correct_probability
Human,analysis,22,0.5290782617733317,0.2915448426153459,0.28511916795281617,0.5399703443627584,0.8198725647429683,0.08008763477018353,0.919914914685021
Human,application,18,0.6688296331820118,0.24325921590135152,0.5099893464864712,0.7298740297127408,0.8598805217960339,0.0800876347701863,0.9199149146850213
Human,comprehension,3,0.6865578627373033,0.06107619722635365,0.659900970284933,0.6998826175994288,0.7198771326207365,0.6199193229704372,0.739871647642044
Human,recall,7,0.7427715729209675,0.16507580513253,0.6698944924062737,0.7798669547886975,0.8198737382923684,0.4600234850396688,0.9799741092211218
MAS,analysis,22,0.5227488291702933,0.27210264192344,0.3048905841134648,0.5900625157539814,0.7401284036010873,0.019973090125217034,0.9400681687465746
MAS,application,18,0.6678195839254496,0.2126137593587372,0.48999699076140085,0.6100742554625929,0.895101855239163,0.3799252906085275,0.9600485052412848
MAS,comprehension,3,0.5800418937553674,0.16379140123336322,0.4899970514448848,0.5400310622558275,0.65008132031608,0.43996304063394204,0.7601315783763326
MAS,recall,7,0.7086153221743029,0.22329478424699664,0.5400309096176457,0.6200807669102838,0.9300765615996572,0.4399630406339453,0.9600485052412848
