cognitive_level,cognitive_level_label,metric,n_mas,n_human,diff,ci_low,ci_high,ni_margin
记忆,Knowledge,QGval,10,10,0.0857142857142863,0.02668618739956618,0.1447423840290064,-0.3
记忆,Knowledge,ULM,10,10,0.09843750000000018,0.00043634707163270336,0.19643865292836765,-0.25
理解,Comprehension,QGval,17,17,0.01680672268907557,-0.003735332550602856,0.037348777928754,-0.3
理解,Comprehension,ULM,17,17,0.059129901960783826,-0.026780861801185565,0.1450406657227532,-0.25
应用,Application,QGval,25,25,0.03809523809523707,-0.04311935989985699,0.11930983609033113,-0.3
应用,Application,ULM,25,25,0.10312499999999947,0.026981903212693406,0.17926809678730554,-0.25
分析,Analysis,QGval,18,18,-0.03703703703703631,-0.08616277612361067,0.01208870204953804,-0.3
分析,Analysis,ULM,18,18,-0.043981481481480955,-0.102181092188314,0.014218129225352101,-0.25
