cognitive_level,estimate,ci_low,ci_high,n_mas,n_human
knowledge,0.11989459815546866,0.0020948616600801723,0.2384716732542822,33,30
application,0.12962962962963065,0.05714573268921164,0.20130837359098305,54,54
reasoning,-0.039933496455235584,-0.1598971077231939,0.04521927348014494,63,66
