panel_order,panel,level_order,cognitive_level,cognitive_level_label,n_mas,n_human,mas_mean,mas_sd,human_mean,human_sd,mean_difference_mas_minus_human,mas_ks_statistic,mas_ks_p_value,human_ks_statistic,human_ks_p_value,normal_by_ks,comparison_method,test_statistic,p_value,significance_label
1,Overall,1,recall,Knowledge,50,50,0.7085714285714285,0.1778205788636079,0.7428571428571429,0.2120878539880258,-0.034285714285714364,0.19971851187514844,0.03180558680900525,0.16500835701575345,0.11707763799818616,False,Mann-Whitney U,1106.5,0.3126888966048078,n.s.
1,Overall,2,comprehension,Comprehension,50,50,0.58,0.29207211857515536,0.6866666666666665,0.31879876577744853,-0.10666666666666658,0.27666381409012847,0.0007102711089995717,0.2571608834698651,0.0021019383337617104,False,Mann-Whitney U,999.0,0.06930890278446701,n.s.
1,Overall,3,application,Application,50,50,0.6677777777777778,0.15932033141446705,0.668888888888889,0.1505679179267388,-0.0011111111111111738,0.1227822287543272,0.4054027898183875,0.13841091513187243,0.2679210138401441,True,Welch t-test,-0.035840926714983894,0.971482334935176,n.s.
1,Overall,4,analysis,Analysis,50,50,0.5227272727272728,0.15290794596515087,0.5290909090909091,0.14249067517344677,-0.006363636363636238,0.07907865750805121,0.8888875116899874,0.1198490960376747,0.43533764724656876,True,Welch t-test,-0.21529156173638328,0.829989643040927,n.s.
2,Main campus,1,recall,Knowledge,32,32,0.6741071428571428,0.15913845975938232,0.7142857142857143,0.2146693953705459,-0.04017857142857151,0.20935616856929817,0.10423719395861764,0.12714730957319353,0.6331469942067196,True,Welch t-test,-0.8505425590591937,0.39857185393195826,n.s.
2,Main campus,2,comprehension,Comprehension,32,32,0.5416666666666666,0.2775985084607653,0.6770833333333333,0.3109054299621161,-0.13541666666666663,0.32999954338026205,0.0013189464506097037,0.25676229430157693,0.02389783100242382,False,Mann-Whitney U,390.5,0.08649910611840035,n.s.
2,Main campus,3,application,Application,32,32,0.6510416666666666,0.13255025045941574,0.6684027777777777,0.1265952567054178,-0.01736111111111105,0.11838747094147284,0.7168935131728096,0.16462905378938752,0.3154983844850926,True,Welch t-test,-0.5358079897586792,0.5940123284756647,n.s.
2,Main campus,4,analysis,Analysis,32,32,0.4914772727272727,0.13185988823482264,0.5411931818181819,0.14711269635176258,-0.04971590909090917,0.1276097757834882,0.6287126987088119,0.12210170534614101,0.6815505682416169,True,Welch t-test,-1.4235597024265658,0.15964644607471226,n.s.
3,Non-main campus,1,recall,Knowledge,18,18,0.7698412698412698,0.1968472323058669,0.7936507936507937,0.2033466824972721,-0.023809523809523947,0.2824087571929795,0.09199684615110737,0.23368035323386577,0.23907582715070286,True,Welch t-test,-0.3569227345910384,0.7233577537998733,n.s.
3,Non-main campus,2,comprehension,Comprehension,18,18,0.6481481481481481,0.312531770353078,0.7037037037037037,0.3408733283766091,-0.05555555555555558,0.20321066929797238,0.3938900956195077,0.2520829499216798,0.1704211187240956,True,Welch t-test,-0.5096688228627512,0.6136005669688815,n.s.
3,Non-main campus,3,application,Application,18,18,0.6975308641975309,0.19914689350641213,0.6697530864197531,0.19005046746156928,0.02777777777777779,0.1726933843129409,0.5967264905274794,0.21511831488000066,0.32713558255761954,True,Welch t-test,0.42811483349858387,0.6712732194568269,n.s.
3,Non-main campus,4,analysis,Analysis,18,18,0.5782828282828283,0.17487098901508544,0.5075757575757575,0.13524496581326712,0.07070707070707083,0.13788672584170925,0.8384060206627867,0.122135683813337,0.92166963215955,True,Welch t-test,1.3569792370936613,0.18428969533707074,n.s.
