cognitive_level,cognitive_level_label,n_students,human_mean_correct_rate,human_ci_low,human_ci_high,mas_mean_correct_rate,mas_ci_low,mas_ci_high,mean_difference_mas_minus_human,difference_ci_low,difference_ci_high,comparison_method,p_value,significance_label,analysis_note
recall,Knowledge,50,0.7428571428571429,0.6828571428571428,0.7999999999999998,0.7085714285714285,0.657142857142857,0.7542857142857143,-0.03428571428571429,-0.08571428571428573,0.019999999999999997,Wilcoxon signed-rank,0.0820361281354391,n.s.,Same student-level paired comparison as Figure 3C; no covariate adjustment.
comprehension,Comprehension,50,0.6866666666666665,0.5933333333333333,0.7733333333333333,0.58,0.5,0.66,-0.10666666666666667,-0.22666666666666668,0.0066666666666666576,Wilcoxon signed-rank,0.034931077893654496,n.s.,Same student-level paired comparison as Figure 3C; no covariate adjustment.
application,Application,50,0.668888888888889,0.6266666666666666,0.708888888888889,0.6677777777777778,0.6244444444444445,0.7122500000000002,-0.0011111111111111115,-0.03777777777777778,0.036694444444444564,Wilcoxon signed-rank,0.3905789907528655,n.s.,Same student-level paired comparison as Figure 3C; no covariate adjustment.
analysis,Analysis,50,0.5290909090909091,0.49090909090909085,0.5663636363636364,0.5227272727272728,0.48090909090909084,0.5636363636363636,-0.006363636363636358,-0.044568181818181764,0.03454545454545455,Paired t-test,0.7526295405381827,n.s.,Same student-level paired comparison as Figure 3C; no covariate adjustment.
