cognitive_level,estimate,ci_low,ci_high,n_mas,n_human
knowledge,-5.599999999999994,-11.400000000000006,0.0,500,500
application,-0.11111111111111427,-4.333333333333329,4.0,900,900
reasoning,-0.6363636363636331,-4.81818181818182,3.5477272727272613,1100,1100
