source,bootstrap_replicate,icc_3_1,icc_3_k
Human,1,0.8345773121717048,0.9527867168991164
Human,2,0.8328563200831025,0.9522251292411321
Human,3,0.8404750557198751,0.9546987549904979
Human,4,0.8816382530828024,0.9675268820438467
Human,5,0.8753928661649965,0.9656367907839066
Human,6,0.8523585500636971,0.9584935873015882
Human,7,0.8743479432941,0.965318648460849
Human,8,0.8724633926166325,0.9647434749604001
Human,9,0.8777937825601279,0.966365705730864
Human,10,0.8428459549085949,0.9554619927243949
Human,11,0.86455161312123,0.9623090160481986
Human,12,0.8678612085982665,0.9633312821004427
Human,13,0.8308628762791698,0.9515725607292242
Human,14,0.8493889014896369,0.9575524176131103
Human,15,0.8512858475134033,0.9581541604562182
Human,16,0.8254720899294338,0.9497966018663253
Human,17,0.8884066255194284,0.969553429742567
Human,18,0.8819921637593947,0.9676334072578634
Human,19,0.8694921876920635,0.9638329887899619
Human,20,0.8688888917272029,0.9636475671081538
Human,21,0.8038138368494996,0.942491711335553
Human,22,0.8499486608270429,0.9577301832492237
Human,23,0.8708803371175425,0.9642589278932774
Human,24,0.8621288829295596,0.9615570961605584
Human,25,0.8731484367678592,0.9649527614435757
Human,26,0.8430648750242093,0.9555323121425866
Human,27,0.854608454228938,0.9592035156118174
Human,28,0.8700719262793913,0.9640109949986364
Human,29,0.8472134569526951,0.9568599498965257
Human,30,0.8700590799911107,0.9640070524598817
Human,31,0.8354454577020631,0.9530693793213681
Human,32,0.8650807610215137,0.962472838168925
Human,33,0.8690920123195167,0.9637100165500899
Human,34,0.8365271382076971,0.9534209803165775
Human,35,0.8354085948802576,0.9530573855680531
Human,36,0.8637538481192082,0.9620617573524118
Human,37,0.8697945950162621,0.9639258630453514
Human,38,0.8858743017136729,0.9687978500665237
Human,39,0.828167567639267,0.9506866698031697
Human,40,0.8790555878526168,0.9667476307770182
Human,41,0.8680213561064635,0.9633806055076376
Human,42,0.8888591613420744,0.9696881249224596
Human,43,0.8631969820752711,0.9618889673018127
Human,44,0.843919737249168,0.9558066523245212
Human,45,0.8830894637130579,0.9679632946234336
Human,46,0.8665534522406809,0.9629280169418984
Human,47,0.8572782018062153,0.96004243926153
Human,48,0.8762884786583754,0.9659090358889592
Human,49,0.8528698056006807,0.9586551438591037
Human,50,0.8259921965673315,0.9499686674292485
Human,51,0.8621042776626174,0.9615494440225679
Human,52,0.8212435930551962,0.9483919454652691
Human,53,0.8626400486165084,0.9617159953957202
Human,54,0.87623777669313,0.9658936344513711
Human,55,0.8826823342829393,0.9678409665156602
Human,56,0.8755092696209161,0.9656721975011897
Human,57,0.8890825480735473,0.9697545781776554
