panel,n_students,mas_mean,mas_sd,human_mean,human_sd,mean_difference_mas_minus_human,method,p_value,significance_label
Overall,50,0.6043999999999999,0.1323748542617378,0.6187999999999999,0.13543037973476277,-0.014399999999999991,Wilcoxon signed-rank,0.13576114964748265,n.s.
Main campus,32,0.5775,0.10144122722367452,0.619375,0.1300604698071309,-0.04187499999999999,Wilcoxon signed-rank,0.0015005196634780157,**
Non-main campus,18,0.6522222222222224,0.16721087621378883,0.6177777777777778,0.1483856484084454,0.03444444444444445,Paired t-test,0.20297116809856552,n.s.
