source,n_targets,n_raters,ms_target,ms_rater,ms_error,icc_2_1,icc_2_k,icc_c_1,icc_c_k,icc_2_1_ci_low,icc_2_1_ci_high,icc_2_k_ci_low,icc_2_k_ci_high,icc_c_1_ci_low,icc_c_1_ci_high,icc_c_k_ci_low,icc_c_k_ci_high,ci_method,icc_model,target_alignment,score_column
Human,50,3,0.07159865553026504,1.3984900756143626,0.01786239921299341,0.28258277959279593,0.5416349304411603,0.5006944366436071,0.7505204660520071,0.16131845765733405,0.4067274530584461,0.36590190952800006,0.6728495706363411,0.3138957518823878,0.6521437339949961,0.5785060623833335,0.8490395528434919,"item bootstrap, 3000 replicates","two-way random-effects ICC; icc_2_* columns are absolute agreement, icc_c_* columns are consistency; plotted statistic is average-measure consistency ICC(C,k) across three experts",source-specific expert worksheet rows,quality_score_5
MAS,50,3,0.03524754703393646,1.2420612791430197,0.008850272623227306,0.20794956588137017,0.4406025003118992,0.498550056740858,0.7489109635145325,0.14492276884610014,0.2654043978547634,0.33707005470967966,0.5201258283181707,0.39003306840123875,0.5989847702057348,0.6573346716278238,0.8175519611228631,"item bootstrap, 3000 replicates","two-way random-effects ICC; icc_2_* columns are absolute agreement, icc_c_* columns are consistency; plotted statistic is average-measure consistency ICC(C,k) across three experts",source-specific expert worksheet rows,quality_score_5
