cognitive_level,cognitive_level_label,estimate_mas_minus_human,se,ci_low,ci_high,ni_margin,noninferior_95ci,z_noninferiority,p_value_noninferiority,p_value_two_sided,model_formula,covariates,random_effects,score_formula
recall,Knowledge,0.14418432140564677,0.04313964349414391,0.059632173851227044,0.2287364689600665,-0.25,True,9.13740331347792,3.1984916219495924e-20,0.00083096291820267,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
comprehension,Comprehension,-0.06295845054759575,0.06899613300257434,-0.19818838630517688,0.07227148520998539,-0.25,True,2.710899021622349,0.0033550528862589407,0.36150954138610925,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
application,Application,0.1345236128364094,0.027209904001680885,0.08119318097032258,0.18785404470249623,-0.25,True,14.131751909622892,1.2102346879927464e-45,7.656678387265079e-07,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
analysis,Analysis,-0.01768217210781034,0.031375282556346334,-0.07917659592301696,0.04381225170739628,-0.25,True,7.40448560024835,6.582990644113516e-14,0.573046719068727,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
