workflow,total_minutes,final_items,usable_items,minutes_per_usable_item,common_manual_workflow_minutes_excluded_equally,labor_cost_cny
Human,1292.3,50,50,25.846,660.0,9562.0
MAS,38.89292166548822,50,47,0.8275089716061322,660.0,0.0
