expert,correct,n,accuracy,ci_low,ci_high
Expert 1,69,140,0.4928571428571429,0.42415375292581786,0.5618313745500231
Expert 3,65,140,0.4642857142857143,0.39628962888856,0.5336360084906444
Expert 4,60,140,0.42857142857142855,0.3617726073060322,0.4980786674523764
