term,label,log_odds,posterior_sd,odds_ratio,ci_low,ci_high,model_formula,random_effects
"C(source_true, Treatment(reference='Human'))[T.MAS]",MAS vs Human (at Knowledge),-0.32297899466277435,0.18042190591419402,0.7239890618425874,0.5083427103052852,1.0311157237858792,"guessed_mas ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall'))",random intercepts for expert and item
"C(cognitive_level, Treatment(reference='recall'))[T.comprehension]",Comprehension vs Knowledge,-0.7146373228793279,0.25458253660052593,0.4893695627596505,0.2971227500569612,0.8060054940581307,"guessed_mas ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall'))",random intercepts for expert and item
"C(cognitive_level, Treatment(reference='recall'))[T.application]",Application vs Knowledge,0.3134883621164159,0.2007692477496069,1.368189539838564,0.9231051465830248,2.02787583175423,"guessed_mas ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall'))",random intercepts for expert and item
"C(cognitive_level, Treatment(reference='recall'))[T.analysis]",Analysis vs Knowledge,0.37616230103042736,0.24531124058213138,1.4566835358252896,0.900649692517403,2.3559958340889198,"guessed_mas ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall'))",random intercepts for expert and item
"C(source_true, Treatment(reference='Human'))[T.MAS]:C(cognitive_level, Treatment(reference='recall'))[T.comprehension]",MAS × Comprehension interaction,0.7429464622158767,0.34613911580598133,2.102120216315407,1.0666535899020704,4.142778354355546,"guessed_mas ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall'))",random intercepts for expert and item
"C(source_true, Treatment(reference='Human'))[T.MAS]:C(cognitive_level, Treatment(reference='recall'))[T.application]",MAS × Application interaction,-0.5496516536904712,0.2981242194522927,0.5771508237268121,0.32175516276786004,1.0352687753727359,"guessed_mas ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall'))",random intercepts for expert and item
"C(source_true, Treatment(reference='Human'))[T.MAS]:C(cognitive_level, Treatment(reference='recall'))[T.analysis]",MAS × Analysis interaction,-1.0541791010675046,0.38330206416908846,0.3484783754492811,0.16440254071005067,0.7386575513449236,"guessed_mas ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall'))",random intercepts for expert and item
