,,,,,,,,,,,,,,,,
AB卷,年级,院区,姓名,M卷,P卷,M-P,总时长,,AB卷,年级,院区,姓名,M卷,P卷,M-P,总时长
B,1,A,49,50,54,-4,1623,,B,2,B,30,68,60,8,3480
B,3,A,50,56,54,2,1032,,B,1,B,31,56,32,24,2580
,,,,,,-4.1875,2214.625,,B,1,B,32,46,30,16,2201
,,,,,,,,,B,1,A,33,66,72,-6,2530
A,1,B,13,52,68,-16,3658,,B,2,A,34,78,82,-4,2463
A,1,B,15,58,54,4,1159,,B,2,B,35,82,78,4,2099
A,1,B,16,52,58,-6,2200,,B,1,B,36,76,76,0,1369
A,2,B,17,34,50,-16,1708,,B,2,B,37,80,78,2,3191
A,1,B,18,58,58,0,1873,,B,2,A,38,52,56,-4,1364
A,3,B,19,54,60,-6,1798,,B,3,B,39,48,48,0,1782
A,3,B,20,64,68,-4,2427,,B,2,A,40,58,58,0,2326
A,2,B,23,88,74,14,2368,,B,2,A,41,46,66,-20,2697
A,2,B,24,88,70,18,2345,,B,2,A,42,50,58,-8,1331
A,3,B,25,84,70,14,2005,,B,3,A,43,46,22,24,1168
B,2,B,29,86,80,6,1989,,B,1,A,44,62,64,-2,2023
B,2,B,30,68,60,8,3480,,B,1,A,45,54,56,-2,710
B,1,B,31,56,32,24,2580,,B,2,A,46,50,60,-10,2111
B,1,B,32,46,30,16,2201,,B,1,A,47,66,82,-16,2380
B,2,B,35,82,78,4,2099,,B,1,A,48,68,82,-14,3378
B,1,B,36,76,76,0,1369,,B,1,A,49,50,54,-4,1623
B,2,B,37,80,78,2,3191,,B,3,A,50,56,54,2,1032
B,3,B,39,48,48,0,1782,,,,,,,,-1.44,2222
,,,,,,3.44444444444444,2235.11111111111,,,,,,,,,
