endpoint,bootstrap_replicate,icc_c_k
QGEval,1,0.482500858448452
QGEval,2,0.691737193763919
QGEval,3,0.4562366052293169
QGEval,4,0.6416225165562907
QGEval,5,0.46843003412969136
QGEval,6,0.7429670794725585
QGEval,7,0.35386999188371493
QGEval,8,0.7744895742832317
QGEval,9,0.6763296182941613
QGEval,10,0.6433124419436463
QGEval,11,0.7658883538208081
QGEval,12,0.7559907191398716
QGEval,13,0.7535842019992051
QGEval,14,0.5937720392773816
QGEval,15,0.7470664928292041
QGEval,16,0.7229480922803895
QGEval,17,0.6765281886745271
QGEval,18,0.5867171959668016
QGEval,19,0.537282374973988
QGEval,20,0.5437235122067674
QGEval,21,0.7328636666131212
QGEval,22,0.749829951252692
QGEval,23,0.6874148114493404
QGEval,24,0.728715017737485
QGEval,25,0.49485779370875227
QGEval,26,0.7355518749597991
QGEval,27,0.505028157683024
QGEval,28,0.7848258640665747
QGEval,29,0.6484161411438772
QGEval,30,0.7527500086478258
QGEval,31,0.6722031718816966
QGEval,32,0.31067677946324257
QGEval,33,0.6773589130204217
QGEval,34,0.6003728638011387
QGEval,35,0.6756002799784938
QGEval,36,0.45379603297454835
QGEval,37,0.685926911907066
QGEval,38,0.7032712362955696
QGEval,39,0.6841670453137254
QGEval,40,0.7282551512494516
QGEval,41,0.6924957472165907
QGEval,42,0.36733093190797084
QGEval,43,0.7278428128231639
QGEval,44,0.567706562393743
QGEval,45,0.6020746887966796
QGEval,46,0.7669886047804333
QGEval,47,0.7017922065815231
QGEval,48,0.6750968533837945
QGEval,49,0.6618279505125816
QGEval,50,0.545971051088965
QGEval,51,0.7895977463061263
QGEval,52,0.6869945565315614
QGEval,53,0.7118826618000128
QGEval,54,0.22169657422512254
QGEval,55,0.45902957965749847
QGEval,56,0.6115025990032681
QGEval,57,0.7914298720942183
QGEval,58,0.49946454069490553
QGEval,59,0.4701277555110212
QGEval,60,0.6327009241108927
QGEval,61,0.6289662368237992
QGEval,62,0.7613635504908141
QGEval,63,0.6223815018640154
QGEval,64,0.37975543478260676
QGEval,65,0.7748815701278062
QGEval,66,0.6592165378757959
QGEval,67,0.6342636692703368
QGEval,68,0.32832677835929336
QGEval,69,0.568235208641108
QGEval,70,0.6126482213438728
QGEval,71,0.7227463767217535
QGEval,72,0.7053662770871433
QGEval,73,0.29599236641221327
QGEval,74,0.7019791620285846
QGEval,75,0.3802180084819986
QGEval,76,0.5300241680609771
QGEval,77,0.7551321673999196
QGEval,78,0.7118320610687019
QGEval,79,0.2619677652152981
QGEval,80,0.6412556622806455
QGEval,81,0.7385323826500294
QGEval,82,0.6923321544554834
QGEval,83,0.7661105841655967
QGEval,84,0.6789690910758511
QGEval,85,0.5648210526315773
QGEval,86,0.5451609247506796
QGEval,87,0.40387599009227015
QGEval,88,0.7055579385991786
QGEval,89,0.7087085180152144
QGEval,90,0.6434194590230112
QGEval,91,0.714491916859122
QGEval,92,0.45175053331660064
QGEval,93,0.6832777848993717
QGEval,94,0.6736921339856974
QGEval,95,0.42564642212868087
QGEval,96,0.7594916849701907
QGEval,97,0.7780270495481056
QGEval,98,0.775416295018636
QGEval,99,0.715788934426229
QGEval,100,0.38892831795599514
QGEval,101,0.7304087993059938
QGEval,102,0.7636139613799785
QGEval,103,0.3987170492131874
QGEval,104,0.7312675785475607
QGEval,105,0.6718901635492533
QGEval,106,0.6837653743099713
QGEval,107,0.4708378232758602
QGEval,108,0.7608244365361803
QGEval,109,0.532621496427729
QGEval,110,0.741053741317304
QGEval,111,0.6284459593949034
QGEval,112,0.7379105462947675
QGEval,113,0.6345177084286625
QGEval,114,0.7460060539813334
QGEval,115,0.44711996535296594
QGEval,116,0.5085800941814976
QGEval,117,0.7708016952706519
QGEval,118,0.3276030695154973
QGEval,119,0.6570204065584078
QGEval,120,0.5960722847132577
QGEval,121,0.6655102813170172
QGEval,122,0.4563559322033892
QGEval,123,0.6516907391673739
QGEval,124,0.6724115616911139
QGEval,125,0.6557234778512006
QGEval,126,0.7684466352925005
QGEval,127,0.629988463112974
