source_true,item_type_group,n_items,mean_difficulty,sd_difficulty,mean_item_rest_discrimination,sd_item_rest_discrimination
Human,A1/B,10,0.726,0.140491201780673,0.3132097126336121,0.1549295665255459
Human,A2/A3/A4,32,0.661875,0.24050266580240748,0.30269326976992433,0.1529727456006635
Human,X,8,0.3125,0.24259018941416408,0.1251645271968169,0.19943339469232466
MAS,A1/B,10,0.67,0.2074715509279391,0.2086081269603303,0.1783883772335972
MAS,A2/A3/A4,32,0.655,0.21329972853604004,0.2517718964140777,0.1441296840197057
MAS,X,8,0.32,0.23952333617296787,0.23222293192226512,0.2616391533048097
