cognitive_level,cognitive_level_label,estimate_mas_minus_human,se,ci_low,ci_high,ni_margin,noninferior_95ci,z_noninferiority,p_value_noninferiority,p_value_two_sided,model_formula,covariates,random_effects,score_formula,data_source
recall,Knowledge,0.09456521739130562,0.041744995764741645,0.012746529157634898,0.17638390562497636,-0.25,True,8.254048445306822,7.655862025465682e-17,0.02349386695600961,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall')) + rating_order_z",rating order within source and rater (standardized),(1|rater_id) + (1|item_key),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores.",plot/data/raw/expert_rating_workbooks
comprehension,Comprehension,0.0426522032744666,0.030453506451833597,-0.017035572574085417,0.10233997912301862,-0.25,True,9.609803184317585,3.634389590802068e-22,0.16134332859841216,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall')) + rating_order_z",rating order within source and rater (standardized),(1|rater_id) + (1|item_key),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores.",plot/data/raw/expert_rating_workbooks
application,Application,0.08815594376005002,0.026068938513339756,0.03706176315871496,0.1392501243613851,-0.25,True,12.971603872056855,8.864075590451979e-39,0.0007205270970114822,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall')) + rating_order_z",rating order within source and rater (standardized),(1|rater_id) + (1|item_key),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores.",plot/data/raw/expert_rating_workbooks
analysis,Analysis,-0.04516911226009181,0.030108580194832806,-0.10418084506760006,0.013842620547416452,-0.25,True,6.803073622683178,5.1205138546471525e-12,0.13356070894160343,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(cognitive_level, Treatment(reference='recall')) + rating_order_z",rating order within source and rater (standardized),(1|rater_id) + (1|item_key),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores.",plot/data/raw/expert_rating_workbooks
