panel,n_students,mas_mean,mas_sd,human_mean,human_sd,mean_difference_mas_minus_human,method,mas_ks_normality_p,human_ks_normality_p,p_value,significance_label
Overall,50,0.6043999999999999,0.1323748542617378,0.6187999999999999,0.13543037973476277,-0.014399999999999991,Independent-samples Welch t-test,0.5083149192316914,0.43030211826495746,0.5920249538014427,n.s.
Main campus,32,0.5775,0.10144122722367452,0.619375,0.1300604698071309,-0.04187499999999999,Independent-samples Welch t-test,0.8767797258382193,0.46103636646633317,0.15628583084558123,n.s.
Non-main campus,18,0.6522222222222224,0.16721087621378883,0.6177777777777778,0.1483856484084454,0.03444444444444445,Independent-samples Welch t-test,0.6369561475535357,0.6700639720044255,0.5177749602211584,n.s.
