expert,correct,n,accuracy,ci_low,ci_high,ci_method
Expert 1,69,140,0.4928571428571429,0.411345857883062,0.5747499449793583,Wilson 95% CI
Expert 3,65,140,0.4642857142857143,0.383732478121069,0.546746536191032,Wilson 95% CI
Expert 4,60,140,0.42857142857142855,0.3495844356842501,0.5113735929399517,Wilson 95% CI
