index,student_id,training_setting,source_true,blueprint_cognitive_level,n_items,correct_rate
129,S017,non_main,Human,application,18,0.6111111111111112
130,S017,non_main,Human,comprehension,3,0.3333333333333333
131,S017,non_main,Human,recall,7,0.5714285714285714
132,S017,non_main,MAS,analysis,22,0.18181818181818182
133,S017,non_main,MAS,application,18,0.4444444444444444
134,S017,non_main,MAS,comprehension,3,0.3333333333333333
135,S017,non_main,MAS,recall,7,0.5714285714285714
136,S018,non_main,Human,analysis,22,0.4090909090909091
137,S018,non_main,Human,application,18,0.6666666666666666
138,S018,non_main,Human,comprehension,3,0.6666666666666666
139,S018,non_main,Human,recall,7,0.8571428571428571
140,S018,non_main,MAS,analysis,22,0.45454545454545453
141,S018,non_main,MAS,application,18,0.5
142,S018,non_main,MAS,comprehension,3,1.0
143,S018,non_main,MAS,recall,7,1.0
144,S019,non_main,Human,analysis,22,0.5
145,S019,non_main,Human,application,18,0.5555555555555556
146,S019,non_main,Human,comprehension,3,1.0
147,S019,non_main,Human,recall,7,0.8571428571428571
148,S019,non_main,MAS,analysis,22,0.5
149,S019,non_main,MAS,application,18,0.6111111111111112
150,S019,non_main,MAS,comprehension,3,0.3333333333333333
151,S019,non_main,MAS,recall,7,0.5714285714285714
152,S020,non_main,Human,analysis,22,0.5909090909090909
153,S020,non_main,Human,application,18,0.7777777777777778
154,S020,non_main,Human,comprehension,3,1.0
155,S020,non_main,Human,recall,7,0.5714285714285714
156,S020,non_main,MAS,analysis,22,0.5909090909090909
157,S020,non_main,MAS,application,18,0.6666666666666666
158,S020,non_main,MAS,comprehension,3,1.0
159,S020,non_main,MAS,recall,7,0.5714285714285714
160,S021,main,Human,analysis,22,0.4090909090909091
161,S021,main,Human,application,18,0.6666666666666666
162,S021,main,Human,comprehension,3,0.6666666666666666
163,S021,main,Human,recall,7,0.7142857142857143
164,S021,main,MAS,analysis,22,0.5454545454545454
165,S021,main,MAS,application,18,0.5555555555555556
166,S021,main,MAS,comprehension,3,0.6666666666666666
167,S021,main,MAS,recall,7,0.42857142857142855
168,S022,main,Human,analysis,22,0.18181818181818182
169,S022,main,Human,application,18,0.5555555555555556
170,S022,main,Human,comprehension,3,0.3333333333333333
171,S022,main,Human,recall,7,1.0
172,S022,main,MAS,analysis,22,0.22727272727272727
173,S022,main,MAS,application,18,0.6111111111111112
174,S022,main,MAS,comprehension,3,0.3333333333333333
175,S022,main,MAS,recall,7,0.5714285714285714
176,S023,non_main,Human,analysis,22,0.5909090909090909
177,S023,non_main,Human,application,18,0.8333333333333334
178,S023,non_main,Human,comprehension,3,0.6666666666666666
179,S023,non_main,Human,recall,7,1.0
180,S023,non_main,MAS,analysis,22,0.8636363636363636
181,S023,non_main,MAS,application,18,0.9444444444444444
182,S023,non_main,MAS,comprehension,3,0.6666666666666666
183,S023,non_main,MAS,recall,7,0.8571428571428571
184,S024,non_main,Human,analysis,22,0.45454545454545453
185,S024,non_main,Human,application,18,0.8888888888888888
186,S024,non_main,Human,comprehension,3,0.6666666666666666
187,S024,non_main,Human,recall,7,1.0
188,S024,non_main,MAS,analysis,22,0.8181818181818182
189,S024,non_main,MAS,application,18,0.9444444444444444
190,S024,non_main,MAS,comprehension,3,1.0
191,S024,non_main,MAS,recall,7,0.8571428571428571
192,S025,non_main,Human,analysis,22,0.5
193,S025,non_main,Human,application,18,0.8333333333333334
194,S025,non_main,Human,comprehension,3,0.6666666666666666
195,S025,non_main,Human,recall,7,1.0
196,S025,non_main,MAS,analysis,22,0.7727272727272727
197,S025,non_main,MAS,application,18,0.8888888888888888
198,S025,non_main,MAS,comprehension,3,1.0
199,S025,non_main,MAS,recall,7,0.8571428571428571
200,S026,main,Human,analysis,22,0.6363636363636364
201,S026,main,Human,application,18,0.7222222222222222
202,S026,main,Human,comprehension,3,1.0
203,S026,main,Human,recall,7,0.8571428571428571
204,S026,main,MAS,analysis,22,0.5454545454545454
205,S026,main,MAS,application,18,0.6666666666666666
206,S026,main,MAS,comprehension,3,0.6666666666666666
207,S026,main,MAS,recall,7,0.7142857142857143
208,S027,main,Human,analysis,22,0.45454545454545453
209,S027,main,Human,application,18,0.7777777777777778
210,S027,main,Human,comprehension,3,0.3333333333333333
211,S027,main,Human,recall,7,1.0
212,S027,main,MAS,analysis,22,0.5
213,S027,main,MAS,application,18,0.7222222222222222
214,S027,main,MAS,comprehension,3,0.6666666666666666
215,S027,main,MAS,recall,7,0.8571428571428571
216,S028,main,Human,analysis,22,0.8181818181818182
217,S028,main,Human,application,18,0.7777777777777778
218,S028,main,Human,comprehension,3,0.6666666666666666
219,S028,main,Human,recall,7,1.0
220,S028,main,MAS,analysis,22,0.6818181818181818
221,S028,main,MAS,application,18,0.8888888888888888
222,S028,main,MAS,comprehension,3,1.0
223,S028,main,MAS,recall,7,0.8571428571428571
224,S029,non_main,Human,analysis,22,0.6363636363636364
225,S029,non_main,Human,application,18,0.8888888888888888
226,S029,non_main,Human,comprehension,3,1.0
227,S029,non_main,Human,recall,7,1.0
228,S029,non_main,MAS,analysis,22,0.7272727272727273
229,S029,non_main,MAS,application,18,0.9444444444444444
230,S029,non_main,MAS,comprehension,3,1.0
231,S029,non_main,MAS,recall,7,1.0
232,S030,non_main,Human,analysis,22,0.45454545454545453
233,S030,non_main,Human,application,18,0.6666666666666666
234,S030,non_main,Human,comprehension,3,0.6666666666666666
235,S030,non_main,Human,recall,7,0.8571428571428571
236,S030,non_main,MAS,analysis,22,0.5454545454545454
237,S030,non_main,MAS,application,18,0.6666666666666666
238,S030,non_main,MAS,comprehension,3,1.0
239,S030,non_main,MAS,recall,7,1.0
240,S031,non_main,Human,analysis,22,0.2727272727272727
241,S031,non_main,Human,application,18,0.2222222222222222
242,S031,non_main,Human,comprehension,3,0.0
243,S031,non_main,Human,recall,7,0.8571428571428571
244,S031,non_main,MAS,analysis,22,0.45454545454545453
245,S031,non_main,MAS,application,18,0.6111111111111112
246,S031,non_main,MAS,comprehension,3,0.3333333333333333
247,S031,non_main,MAS,recall,7,0.8571428571428571
248,S032,non_main,Human,analysis,22,0.22727272727272727
249,S032,non_main,Human,application,18,0.3333333333333333
250,S032,non_main,Human,comprehension,3,0.0
251,S032,non_main,Human,recall,7,0.5714285714285714
252,S032,non_main,MAS,analysis,22,0.4090909090909091
253,S032,non_main,MAS,application,18,0.4444444444444444
254,S032,non_main,MAS,comprehension,3,0.6666666666666666
255,S032,non_main,MAS,recall,7,0.5714285714285714
256,S033,main,Human,analysis,22,0.6818181818181818
257,S033,main,Human,application,18,0.7777777777777778
258,S033,main,Human,comprehension,3,0.3333333333333333
259,S033,main,Human,recall,7,0.8571428571428571
260,S033,main,MAS,analysis,22,0.5909090909090909
261,S033,main,MAS,application,18,0.8333333333333334
262,S033,main,MAS,comprehension,3,0.6666666666666666
263,S033,main,MAS,recall,7,0.42857142857142855
264,S034,main,Human,analysis,22,0.6818181818181818
265,S034,main,Human,application,18,0.8888888888888888
266,S034,main,Human,comprehension,3,1.0
267,S034,main,Human,recall,7,1.0
268,S034,main,MAS,analysis,22,0.6818181818181818
269,S034,main,MAS,application,18,0.8888888888888888
270,S034,main,MAS,comprehension,3,0.6666666666666666
271,S034,main,MAS,recall,7,0.8571428571428571
272,S035,non_main,Human,analysis,22,0.6818181818181818
273,S035,non_main,Human,application,18,0.7777777777777778
