endpoint,scale_points,n_targets,n_raters,ms_target,ms_rater,ms_error,icc_2_1,icc_2_k,icc_c_1,icc_c_k,icc_c_k_ci_low,icc_c_k_ci_high,ci_method,icc_model,target_alignment,data_source
QGEval,35,140,3,1.5399794450154154,0.5642857142857475,0.48514902363823276,0.4199210359429652,0.6847126321758559,0.42020470829068524,0.6849639615589957,0.29523158225909957,0.7848175118646232,"item bootstrap, 3000 replicates","two-way random-effects average-measure consistency ICC(C,k) across three experts",source + item type + original item number + occurrence,plot/data/raw/expert_rating_workbooks
ULM,76,140,3,18.165450496745457,1531.6166666666707,5.384052757793737,0.20736048607486907,0.4397202490603669,0.44174997824338114,0.7036102815749959,0.6139868685757773,0.7714333182423428,"item bootstrap, 3000 replicates","two-way random-effects average-measure consistency ICC(C,k) across three experts",source + item type + original item number + occurrence,plot/data/raw/expert_rating_workbooks
