汇总,次数,比例
合计选择认为是AI的,59,59/140
合计选择认为是人工的,81,81/140
人工被认为是AI,30,30/70
成功识别人工题,40,40/70
AI被认为是人工,41,41/70
成功识别AI题,29,29/70
总正确率,69,69/140
,,
A1汇总,次数,比例
合计选择认为是AI的,6,6/20
合计选择认为是人工的,14,14/20
人工被认为是AI,3,3/10
成功识别人工题,7,7/10
AI被认为是人工,7,7/10
成功识别AI题,3,3/10
总正确率,10,10/20
,,
A2汇总,次数,比例
合计选择认为是AI的,24,24/50
合计选择认为是人工的,26,26/50
人工被认为是AI,12,12/25
成功识别人工题,13,13/25
AI被认为是人工,13,13/25
成功识别AI题,12,12/25
总正确率,25,25/50
,,
A3-4汇总,次数,比例
合计选择认为是AI的,20,20/36
合计选择认为是人工的,16,16/36
人工被认为是AI,11,11/18
成功识别人工题,7,7/18
AI被认为是人工,9,9/18
成功识别AI题,9,9/18
总正确率,16,16/36
,,
B汇总,次数,比例
合计选择认为是AI的,1,1/12
合计选择认为是人工的,11,11/12
人工被认为是AI,0,0/6
成功识别人工题,6,6/6
AI被认为是人工,5,5/6
成功识别AI题,1,1/6
总正确率,7,7/12
,,
X汇总,次数,比例
合计选择认为是AI的,7,7/22
合计选择认为是人工的,12,12/22
人工被认为是AI,4,4/11
成功识别人工题,7,7/11
AI被认为是人工,7,7/11
成功识别AI题,4,4/11
总正确率,11,11/22
