,,,M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,姓名,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,
AB卷,年级,院区,标准答案,D,C,C,C,B,D,A,C,D,C,B,C,C,B,E,B,A,D,B,A,E,C,D,C,A,A,E,C,A,D,B,D,C,D,B,C,D,C,A,C,E,D,ABD,ABC,ABCDE,ABDE,ABC,ABC,ABCD,ABCD,29.44,58.88,13.8934037106343
A,1,A,1,0,2,2,2,2,2,2,2,2,0,2,2,2,0,0,2,2,0,2,2,2,2,2,0,2,2,2,0,0,0,2,2,2,2,0,2,2,0,2,2,2,2,0,0,0,0,2,2,0,0,33,66,
A,2,A,2,0,2,2,0,2,2,2,0,0,2,2,0,0,0,0,2,2,0,2,2,2,2,0,2,0,2,2,2,0,2,2,0,2,2,0,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,26,52,
A,2,A,3,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,2,2,0,2,0,0,2,2,2,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,19,38,
A,1,A,4,2,2,2,0,2,0,2,2,0,2,0,0,0,0,2,2,2,0,2,2,2,2,0,0,0,2,0,2,0,0,0,2,2,0,0,0,2,0,2,2,2,0,0,0,2,0,0,0,0,0,23,46,
A,1,A,5,0,0,2,0,2,2,2,2,0,2,2,2,0,0,0,2,2,0,2,2,2,2,0,2,0,0,2,0,2,0,2,2,2,2,0,2,2,0,2,0,0,2,0,0,2,0,0,2,2,0,28,56,
A,1,A,6,0,2,2,0,2,0,2,0,0,0,2,0,2,0,2,2,2,2,2,2,2,0,2,2,0,2,0,0,0,2,2,2,0,2,2,2,2,0,2,0,2,2,0,0,0,2,2,2,0,2,30,60,
A,2,A,7,0,2,2,0,2,0,2,0,0,0,0,0,2,0,2,2,2,0,2,2,2,2,0,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,0,0,26,52,
A,3,A,8,2,2,2,2,2,0,2,2,2,2,0,0,0,2,0,2,2,0,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,2,0,2,2,2,2,0,2,0,0,0,2,0,0,2,2,0,31,62,
A,3,A,9,2,2,2,2,2,2,2,2,C,2,0,0,2,2,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,2,2,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,2,2,28,56,
A,2,A,10,2,0,2,0,2,2,2,2,2,2,0,2,0,2,2,2,2,0,2,2,2,2,0,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,2,0,0,0,0,2,2,0,2,34,68,
A,1,A,11,2,2,2,0,2,0,2,2,E,2,0,0,0,0,0,2,2,0,2,2,0,2,0,0,2,0,0,0,2,0,2,2,2,0,2,2,2,0,2,0,0,2,0,0,2,0,0,2,0,0,24,48,
A,2,A,12,0,2,2,2,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,0,0,2,2,2,2,0,2,0,0,2,0,2,2,0,2,2,0,2,2,2,0,0,2,2,0,2,0,2,2,34,68,
A,1,B,13,0,2,2,2,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,2,0,2,2,0,0,0,2,2,2,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,26,52,
A,2,A,14,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,0,2,2,2,2,2,0,2,0,0,2,2,0,2,2,2,0,36,72,
A,1,B,15,2,2,2,0,2,2,2,2,0,0,0,2,0,2,0,2,2,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,2,2,0,2,0,2,2,2,2,0,0,0,0,0,0,0,2,2,29,58,
A,1,B,16,2,2,2,2,2,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,2,0,0,2,0,0,2,2,2,2,2,0,2,2,2,2,0,0,0,0,0,2,0,0,2,0,0,26,52,
A,2,B,17,0,2,2,0,2,2,0,2,0,0,0,0,2,0,2,2,2,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,34,
A,1,B,18,2,2,0,0,2,2,2,0,0,0,2,0,2,0,2,2,2,2,2,2,2,0,2,2,0,0,2,2,0,0,2,2,2,2,0,2,2,0,2,2,2,2,0,0,0,0,0,2,0,0,29,58,
A,3,B,19,0,2,2,2,2,2,2,2,0,0,0,2,0,0,2,2,2,0,2,2,2,2,0,0,0,2,0,0,0,0,2,2,2,2,0,2,2,2,2,0,0,2,0,0,2,0,0,2,0,0,27,54,
A,3,B,20,0,2,2,2,2,0,2,2,2,2,0,2,2,0,0,2,2,0,2,2,0,2,2,0,0,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,2,2,0,32,64,
A,3,A,21,2,2,2,2,2,0,0,0,0,2,0,2,2,0,0,2,2,0,2,2,0,2,0,0,0,2,2,2,0,0,2,2,2,2,2,0,2,2,2,0,2,2,0,0,0,0,2,0,0,0,27,54,
A,2,A,22,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,21,42,
A,2,B,23,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,44,88,
A,2,B,24,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,2,2,2,2,44,88,
A,3,B,25,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,42,84,
,,,,26,46,46,30,48,28,46,36,20,30,14,26,22,20,28,46,48,16,46,44,30,42,22,22,22,24,36,30,12,18,42,40,40,40,22,38,42,30,46,24,34,26,2,8,32,2,16,28,20,16,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,姓名,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,31,62,12.6359276140166
B,1,A,26,2,2,2,2,2,2,2,2,0,0,0,2,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,0,2,0,2,2,0,2,0,2,0,2,2,0,2,2,0,0,2,0,0,2,2,2,31,62,
B,3,A,27,0,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,0,0,0,2,2,2,2,2,2,2,2,2,0,2,2,0,0,2,0,0,0,0,0,32,64,
B,3,A,28,2,2,2,2,2,0,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,0,0,2,0,2,2,2,2,40,80,
B,2,B,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,43,86,
B,2,B,30,2,2,0,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,0,0,2,2,2,2,0,2,2,0,2,2,2,2,0,2,2,0,0,0,0,0,34,68,
B,1,B,31,2,2,2,0,2,2,2,2,2,0,0,2,0,0,2,2,2,0,2,2,2,2,2,0,0,2,2,0,0,0,2,0,2,2,0,2,2,2,2,0,0,2,0,0,0,0,0,2,0,0,28,56,
B,1,B,32,0,2,2,0,2,2,2,2,0,0,0,0,2,0,0,2,2,0,0,2,0,2,0,0,2,0,2,2,0,0,2,2,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,2,0,0,23,46,
B,1,A,33,0,2,2,0,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,2,0,33,66,
B,2,A,34,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,0,2,2,2,2,2,2,0,0,0,2,0,2,2,0,2,39,78,
B,2,B,35,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,2,41,82,
B,1,B,36,2,2,2,0,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,0,0,2,2,2,38,76,
B,2,B,37,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,2,2,2,0,2,2,2,2,0,0,0,2,0,0,2,2,0,40,80,
B,2,A,38,2,2,0,2,0,0,2,2,0,0,2,2,0,2,2,0,0,2,2,2,2,2,0,2,0,0,2,2,0,0,0,2,2,2,0,0,2,0,2,2,2,2,0,0,0,0,0,0,2,0,26,52,
B,3,B,39,0,2,0,0,2,0,2,2,0,0,2,0,2,0,2,2,2,0,2,0,2,2,0,0,0,0,0,2,2,0,2,2,0,2,0,2,2,0,2,0,0,2,0,0,0,0,2,0,2,2,24,48,
B,2,A,40,0,0,2,0,2,0,2,2,0,0,0,2,0,0,2,2,2,0,2,2,2,2,0,0,2,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0,0,2,0,2,29,58,
B,2,A,41,2,2,2,2,2,0,2,2,2,0,0,0,2,2,0,2,2,0,2,2,2,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,23,46,
B,2,A,42,0,2,2,2,2,2,0,2,0,0,0,0,0,2,0,2,2,0,0,2,0,2,2,0,2,0,0,0,0,0,2,2,2,2,0,2,0,2,2,0,2,2,0,0,2,0,0,2,0,2,25,50,
B,3,A,43,0,2,2,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,C,2,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,23,46,
B,1,A,44,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,2,2,0,2,0,2,2,0,2,2,0,0,2,0,0,2,0,0,31,62,
B,1,A,45,2,2,0,0,2,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,2,0,2,0,2,2,0,2,0,2,2,0,2,2,0,2,2,0,0,27,54,
B,2,A,46,2,2,2,0,2,2,2,0,2,0,0,2,0,2,0,2,2,0,2,2,0,2,0,0,0,2,0,2,2,0,0,2,0,2,0,0,0,2,2,0,2,2,0,0,2,0,0,2,0,0,25,50,
B,1,A,47,2,2,2,2,2,0,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,0,2,2,0,2,2,0,2,2,2,0,2,0,0,0,2,0,0,2,2,0,33,66,
B,1,A,48,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,0,2,0,2,2,0,2,2,2,0,0,2,2,2,2,2,2,2,2,0,2,2,0,0,2,0,0,0,2,2,34,68,
B,1,A,49,2,2,2,0,2,0,2,2,0,0,0,2,2,0,2,2,2,2,2,0,2,2,2,2,0,0,2,0,0,0,2,0,2,0,2,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,25,50,
B,3,A,50,2,2,2,0,2,0,0,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,28,56,
,,,,36,48,42,28,48,28,46,48,32,10,24,30,32,22,36,48,48,30,46,46,38,50,22,30,26,20,36,26,14,8,34,42,34,46,16,36,36,38,48,20,42,28,0,8,30,2,12,36,22,22,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.62,0.94,0.88,0.58,0.96,0.56,0.92,0.84,0.52,0.4,0.38,0.56,0.54,0.42,0.64,0.94,0.96,0.46,0.92,0.9,0.68,0.92,0.44,0.52,0.48,0.44,0.72,0.56,0.26,0.26,0.76,0.82,0.74,0.86,0.38,0.74,0.78,0.68,0.94,0.44,0.76,0.54,0.02,0.16,0.62,0.04,0.28,0.64,0.42,0.38,31/50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
