cognitive_level,estimate,ci_low,ci_high,n_mas,n_human
application,-0.11111111111111427,-4.113888888888892,4.338888888888886,900,900
knowledge,-5.599999999999994,-10.01,0.4050000000000065,500,500
reasoning,-0.6363636363636331,-4.550000000000001,3.3681818181818226,1100,1100
