student_id,source_true,paper,form,order_group,block_position,training_year,training_setting,n_items,raw_score,n_correct,score_percent,correct_rate
S038,Human,P,B,B,2,2,main,50,56.0,28,56.00000000000001,0.56
S039,Human,P,B,B,2,3,non_main,50,48.0,24,48.0,0.48
S040,Human,P,B,B,2,2,main,50,58.0,29,57.99999999999999,0.58
S041,Human,P,B,B,2,2,main,50,66.0,33,66.0,0.66
S042,Human,P,B,B,2,2,main,50,58.0,29,57.99999999999999,0.58
S043,Human,P,B,B,2,3,main,50,22.0,11,22.0,0.22
S044,Human,P,B,B,2,1,main,50,64.0,32,64.0,0.64
S045,Human,P,B,B,2,1,main,50,56.0,28,56.00000000000001,0.56
S046,Human,P,B,B,2,2,main,50,60.0,30,60.0,0.6
S047,Human,P,B,B,2,1,main,50,82.0,41,82.0,0.82
S048,Human,P,B,B,2,1,main,50,82.0,41,82.0,0.82
S049,Human,P,B,B,2,1,main,50,54.0,27,54.0,0.54
S050,Human,P,B,B,2,3,main,50,54.0,27,54.0,0.54
