cognitive_level,estimate,ci_low,ci_high,n_mas,n_human
application,0.12962962962963065,0.06519726247987016,0.20619967793880845,54,54
knowledge,0.11989459815546866,0.022921607378131183,0.25156785243741714,33,30
reasoning,-0.039933496455235584,-0.16076761402848225,0.04069734613213003,63,66
